entry,exit,exit_type,date,ticker,stop_loss,shares,invested,expected_profit
5.942872368471369,,skip_low_reward,2020-01-02,NVDA,,,,
28.299999237060547,,skip_low_reward,2020-01-02,TSLA,,,,
71.62709199861638,,skip_low_reward,2020-01-02,AAPL,,,,
66.68113625378123,,skip_low_reward,2020-01-02,GOOG,,,,
151.28912308572728,,skip_low_reward,2020-01-02,MSFT,,,,
29.366666793823242,,skip_low_reward,2020-01-03,TSLA,,,,
5.852018586378897,,skip_low_reward,2020-01-03,NVDA,,,,
71.84710239518715,,skip_low_reward,2020-01-03,AAPL,,,,
66.99477900920309,,skip_low_reward,2020-01-03,GOOG,,,,
150.8508379064428,,skip_low_reward,2020-01-03,MSFT,,,,
5.782819473763594,5.900805473327637,close,2020-01-06,NVDA,5.67,864.0,4996.36,101.94
29.364667892456055,30.1026668548584,close,2020-01-06,TSLA,28.78,46.0,1350.77,33.95
71.03471685901826,72.48785400390625,close,2020-01-06,AAPL,69.61,9.0,639.31,13.08
67.10113580957623,69.29857635498047,close,2020-01-06,GOOG,65.76,6.0,402.61,13.18
149.6693128510685,,skip_low_reward,2020-01-06,MSFT,,,,
5.929181218505931,,skip_low_reward,2020-01-07,NVDA,,,,
30.760000228881836,,skip_low_reward,2020-01-07,TSLA,,,,
31.579999923706055,32.80933380126953,close,2020-01-08,TSLA,30.95,25.0,789.5,30.73
5.968012776764655,,skip_low_reward,2020-01-08,NVDA,,,,
71.84954036585081,73.3075180053711,close,2020-01-08,AAPL,70.41,9.0,646.65,13.12
69.19270329039529,,skip_low_reward,2020-01-08,GOOG,,,,
151.43204560824276,,skip_low_reward,2020-01-08,MSFT,,,,
74.28674867142341,,skip_low_reward,2020-01-09,AAPL,,,,
154.20474183695646,,skip_low_reward,2020-01-09,MSFT,,,,
70.95623044482811,,skip_low_reward,2020-01-10,GOOG,,,,
32.900001525878906,34.990665435791016,close,2020-01-13,TSLA,32.24,14.0,460.6,29.27
6.164656154968752,,skip_low_reward,2020-01-13,NVDA,,,,
75.35062150930146,,skip_low_reward,2020-01-13,AAPL,,,,
71.38219488764605,,skip_low_reward,2020-01-13,GOOG,,,,
154.12850376510744,,skip_low_reward,2020-01-13,MSFT,,,,
71.08793750518538,,skip_low_reward,2020-01-15,GOOG,,,,
154.94795870026942,,skip_low_reward,2020-01-15,MSFT,,,,
32.91666793823242,34.232666015625,close,2020-01-16,TSLA,32.26,23.0,757.08,30.27
6.166150111937192,,skip_low_reward,2020-01-16,NVDA,,,,
75.82210636141797,,skip_low_reward,2020-01-16,AAPL,,,,
156.59634588243543,,skip_low_reward,2020-01-16,MSFT,,,,
71.9443509613726,,skip_low_reward,2020-01-16,GOOG,,,,
33.840667724609375,,skip_low_reward,2020-01-17,TSLA,,,,
76.4700857814728,,skip_low_reward,2020-01-17,AAPL,,,,
72.71327914438791,,skip_low_reward,2020-01-17,GOOG,,,,
35.349998474121094,36.47999954223633,close,2020-01-21,TSLA,34.64,25.0,883.75,28.25
6.16839196643125,,skip_low_reward,2020-01-21,NVDA,,,,
73.5189931497126,,skip_low_reward,2020-01-21,GOOG,,,,
6.216928271698057,,skip_low_reward,2020-01-22,NVDA,,,,
37.616668701171875,,skip_low_reward,2020-01-23,TSLA,,,,
6.265716138636383,,skip_low_reward,2020-01-23,NVDA,,,,
76.86904252755714,,skip_low_reward,2020-01-23,AAPL,,,,
158.3495585089008,,skip_low_reward,2020-01-23,MSFT,,,,
5.930178407016322,,skip_low_reward,2020-01-27,NVDA,,,,
36.132667541503906,37.201332092285156,close,2020-01-27,TSLA,35.41,25.0,903.32,26.72
153.54726882439954,,skip_low_reward,2020-01-27,MSFT,,,,
71.12721481590667,,skip_low_reward,2020-01-27,GOOG,,,,
6.044928449138789,6.1723737716674805,close,2020-01-28,NVDA,5.92,435.0,2629.54,55.44
75.58274145549967,,skip_low_reward,2020-01-28,AAPL,,,,
71.72367253120295,,skip_low_reward,2020-01-28,GOOG,,,,
156.0532425983838,,skip_low_reward,2020-01-28,MSFT,,,,
