entry,exit,exit_type,date,ticker,stop_loss,shares,invested,expected_profit,market_regime
182.88074176951616,,skip_low_reward,2024-01-03,AAPL,,,,,
364.86827930524817,366.4404296875,close,2024-01-03,MSFT,355.75,4.0,1459.47,6.29,normal
47.46387785018922,,skip_low_reward,2024-01-03,NVDA,,,,,
244.97999572753906,238.86,stop_loss,2024-01-03,TSLA,238.86,0.0,0.0,0.0,normal
149.1999969482422,148.47000122070312,close,2024-01-03,AMZN,145.47,0.0,0.0,0.0,normal
343.0977422035491,342.59051513671875,close,2024-01-03,META,334.52,0.0,0.0,0.0,normal
467.32000732421875,470.260009765625,close,2024-01-03,NFLX,455.64,3.0,1401.96,8.82,normal
251.29798893471184,249.65240478515625,close,2024-01-03,CRM,245.02,0.0,0.0,0.0,normal
574.5800170898438,571.7899780273438,close,2024-01-03,ADBE,560.22,0.0,0.0,0.0,normal
135.7100067138672,135.32000732421875,close,2024-01-03,AMD,132.32,0.0,0.0,0.0,normal
101.4374067329608,100.612548828125,close,2024-01-03,ORCL,98.9,0.0,0.0,0.0,normal
60.70000076293945,59.18,stop_loss,2024-01-03,PYPL,59.18,0.0,0.0,0.0,normal
366.5096725142683,363.810302734375,close,2024-01-04,MSFT,357.35,0.0,0.0,0.0,normal
47.74575398330261,47.976654052734375,close,2024-01-04,NVDA,46.55,34.0,1623.36,7.85,normal
239.25,237.92999267578125,close,2024-01-04,TSLA,233.27,0.0,0.0,0.0,normal
139.02362150968963,137.22430419921875,close,2024-01-04,GOOG,135.55,0.0,0.0,0.0,normal
145.58999633789062,144.57000732421875,close,2024-01-04,AMZN,141.95,0.0,0.0,0.0,normal
342.6203437658579,345.2260437011719,close,2024-01-04,META,334.05,4.0,1370.48,10.42,normal
472.9800109863281,,skip_low_reward,2024-01-04,NFLX,,,,,
249.64250383561492,249.05763244628906,close,2024-01-04,CRM,243.4,0.0,0.0,0.0,normal
570.989990234375,567.0499877929688,close,2024-01-04,ADBE,556.72,0.0,0.0,0.0,normal
134.3000030517578,136.00999450683594,close,2024-01-04,AMD,130.94,12.0,1611.6,20.52,normal
100.9169509479007,100.74019622802734,close,2024-01-04,ORCL,98.39,0.0,0.0,0.0,normal
58.02000045776367,58.45000076293945,close,2024-01-04,PYPL,56.57,28.0,1624.56,12.04,normal
180.66696287937032,179.8628387451172,close,2024-01-05,AAPL,176.15,0.0,0.0,0.0,normal
364.82871403903994,363.6224060058594,close,2024-01-05,MSFT,355.71,0.0,0.0,0.0,normal
48.4404413508827,49.075157165527344,close,2024-01-05,NVDA,47.23,23.0,1114.13,14.6,normal
236.86000061035156,,skip_low_reward,2024-01-05,TSLA,,,,,
137.53446123142837,136.57814025878906,close,2024-01-05,GOOG,134.1,0.0,0.0,0.0,normal
144.69000244140625,,skip_low_reward,2024-01-05,AMZN,,,,,
345.0967647163299,350.02972412109375,close,2024-01-05,META,336.47,4.0,1380.39,19.73,normal
476.5,474.05999755859375,close,2024-01-05,NFLX,464.59,0.0,0.0,0.0,normal
249.027889385505,248.93865966796875,close,2024-01-05,CRM,242.8,0.0,0.0,0.0,normal
563.5,,skip_low_reward,2024-01-05,ADBE,,,,,
136.77999877929688,138.5800018310547,close,2024-01-05,AMD,133.36,12.0,1641.36,21.6,normal
100.68128723838208,,skip_low_reward,2024-01-05,ORCL,,,,,
180.76623878240164,184.2110137939453,close,2024-01-08,AAPL,176.25,9.0,1626.9,31.0,normal
